#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
145,Alvin Kamara,RB,NO,156.70 (-0.30),157.70,126.70 (1.30),,126.67 (4.71),163.60 (0.90),131.34 (-1.52),150.05 (3.58),177.11 (1.71),159.26 (2.46)
146,New England Patriots,DST,NE,148.10 (-1.20),149.40,126.70 (0.10),,204.02 (5.98),,,307.53 (2.32),187.06 (-0.09),
147,Chig Okonkwo,TE,WAS,168.90 (-0.30),146.20,126.80 (0.20),,154.50 (-4.15),142.90 (-2.90),133.45 (2.59),123.25 (-4.69),160.45 (0.88),131.08 (-6.41)
148,Isiah Pacheco,RB,DET,158.00 (-0.50),167.20,126.80 (0.40),,134.95 (-5.07),157.90 (-6.70),141.09 (-1.86),155.47 (-3.12),164.91 (0.96),165.35 (0.82)
149,Terrance Ferguson,TE,LA,166.80 (0.20),158.70,126.90 (1.00),,222.52 (-6.93),178.70 (2.50),219.76 (-0.02),158.44 (3.36),228.17 (5.90),161.21 (2.17)
150,Jakobi Meyers,WR,JAC,117.40 (-3.40),87.60,127.30 (-1.80),,102.50 (1.81),113.20 (-6.20),110.86 (-1.27),128.61 (-0.09),98.29 (-1.08),143.46 (-1.67)
151,Travis Hunter,WR,JAC,116.90 (1.10),160.20,127.30 (0.50),,198.48 (-8.17),144.80 (-4.20),165.35 (0.09),183.19 (-4.07),195.58 (0.24),183.00 (-3.74)
152,Baker Mayfield,QB,TB,149.20 (-0.20),140.90,127.40 (0.60),,150.79 (-3.71),120.50 (-2.10),128.37 (-1.46),109.26 (-3.04),115.22 (-1.29),48.05 (1.08)
153,Deebo Samuel,WR,SF,136.00 (15.60),141.20 (23.10),127.70 (0.90),,128.88 (30.40),128.10 (14.40),157.77 (20.83),137.77 (17.20),165.16 (5.96),148.10 (13.07)
154,Xavier Worthy,WR,KC,137.00 (-1.10),134.90,128.30 (-0.80),,112.33 (-9.48),104.00 (-5.20),128.22 (0.54),134.80 (-5.52),119.51 (0.12),142.96 (-4.87)
155,Zach Charbonnet,RB,SEA,150.10 (1.80),125.80,128.40 (-0.70),,109.07 (9.97),161.10,124.81 (-1.42),141.73 (-2.77),155.28 (0.45),148.94 (-1.29)
156,Hunter Henry,TE,NE,142.80 (-0.80),106.20,128.50 (0.20),,178.33 (-2.65),151.10 (1.30),144.42 (2.44),138.42 (1.24),164.90 (-1.61),141.11 (0.89)
157,Brenton Strange,TE,JAC,167.60 (-0.80),128.80,128.50 (-0.70),,167.38 (-4.00),149.00 (1.70),158.69 (0.33),126.57 (-1.34),152.91 (-1.25),135.15 (0.61)
158,Cam Little,K,JAC,136.00 (0.70),201.00,128.50,,191.67 (-0.90),,,306.76 (4.60),,
159,Dalton Schultz,TE,HOU,167.60,137.00,128.60 (1.00),,210.06 (-2.85),168.70 (-0.30),181.84 (3.38),153.70 (-2.10),184.31 (-2.00),150.19 (-0.14)
160,Jauan Jennings,WR,MIN,170.10 (-0.40),146.30,128.70 (0.60),,169.66 (5.07),158.20 (-3.00),145.74 (-1.50),193.08 (-3.48),159.60 (-2.47),191.23 (-1.57)
161,Daniel Jones,QB,IND,160.00 (0.40),195.10,128.70 (0.80),,223.30 (-12.04),147.00 (0.30),158.30 (-1.22),135.66 (-0.48),159.23 (-1.56),65.01 (3.71)
162,San Francisco 49ers,DST,SF,168.50 (-0.20),214.00,128.70 (-0.10),,264.00 (-15.00),,,337.43 (-0.90),245.29 (-1.83),
163,Rashid Shaheed,WR,SEA,158.00 (-1.70),152.20,128.90 (0.80),,126.26 (-2.91),132.10 (-1.70),141.28 (2.75),153.96 (-1.68),142.28 (1.66),163.85 (-3.25)
164,Chicago Bears,DST,CHI,169.20 (0.20),209.20,128.90 (1.00),,259.17 (-5.17),,,344.13 (-7.31),221.64 (-1.90),
165,Dallas Cowboys,DST,DAL,166.70 (0.60),205.50,129.00 (0.20),,263.60 (-24.35),,,345.18 (-2.23),250.36 (-1.10),
166,Nick Folk,K,ATL,170.10 (-0.10),285.50,129.60 (-0.40),,,,,349.02 (0.17),,
167,Kenyon Sadiq,TE,NYJ,136.30 (-2.40),118.20,129.70 (-0.20),,182.49 (-3.76),169.70 (-9.20),154.71 (1.02),154.66 (-9.99),168.72 (-3.45),156.41 (-7.19)
168,Tyler Shough,QB,NO,155.20 (-1.70),144.40,129.80 (-0.30),,153.19 (-1.81),124.20 (-1.10),138.59 (-1.88),108.60 (-2.66),117.33 (-2.15),46.71 (0.99)
169,Jake Elliott,K,PHI,168.60 (0.40),240.90,129.80 (-0.40),,,,,349.54 (-0.30),,
170,Tyler Allgeier,RB,ARI,169.40 (0.20),132.50,130.00 (-0.30),,124.33 (6.25),150.30 (6.80),128.36 (-0.14),153.39 (3.57),139.24 (-0.72),161.93 (3.68)
171,Mike Washington,RB,LV,170.30 (0.10),179.10,130.00 (0.60),,168.40 (-2.05),193.60 (5.90),161.93 (-2.65),194.78 (8.67),189.04 (-0.31),209.19 (17.68)
172,Matthew Golden,WR,GB,107.20 (-0.80),134.10,130.10 (1.00),,120.55 (1.41),104.80 (3.50),119.34 (-0.55),129.25 (2.73),122.01 (1.76),142.56 (0.64)
173,T.J. Hockenson,TE,MIN,133.70 (-1.00),141.20,130.20 (0.60),,181.17 (3.52),169.70 (0.80),159.58 (4.71),145.24 (-0.63),183.21 (-1.38),146.38 (0.62)
174,Jalen McMillan,WR,TB,167.40 (-0.40),163.70,130.20 (0.50),,163.60 (-5.06),152.50 (-6.90),166.72 (1.06),168.84 (-4.77),157.45 (0.54),177.71 (-4.17)
175,Emmett Johnson,RB,KC,170.10 (-0.10),149.70,130.30,,183.88 (-6.07),207.30 (-9.50),172.58 (-3.80),196.73 (-4.43),168.45 (-2.49),215.32 (-0.42)
176,Jalen Nailor,WR,LV,169.80,166.50,130.50 (-1.40),,150.43 (-1.16),148.30 (1.60),153.86 (4.11),172.41 (2.27),169.39 (1.93),183.89 (-0.88)
177,New York Giants,DST,NYG,169.10 (0.20),192.50,130.50 (0.20),,266.63 (-19.63),,,347.57 (-1.37),239.62 (-1.84),
178,Juwan Johnson,TE,NO,164.20 (-0.70),135.30,130.60 (0.70),,148.43 (1.72),154.00 (2.30),147.48 (1.64),127.44 (-0.23),152.48 (-1.19),131.49 (1.28)
179,Wan'Dale Robinson,WR,TEN,117.60 (-2.30),103.00,130.70 (-0.50),,80.93 (2.99),111.90 (-0.10),108.30 (1.12),111.35 (3.36),100.52 (1.24),127.19 (2.76)
180,Tyrone Tracy,RB,NYG,167.50,145.30,130.80 (-0.50),,118.43 (0.88),136.50 (-2.40),123.50 (-2.35),131.46 (0.35),134.28 (0.71),143.94 (1.28)
181,Denzel Boston,WR,CLE,166.70 (1.10),147.50,130.80 (0.20),,158.69 (9.81),143.30 (12.20),150.87 (3.29),169.06 (8.14),158.22 (0.71),176.83 (3.99)
182,Omar Cooper,WR,NYJ,170.30 (-0.80),149.30,131.00 (0.70),,170.57 (-7.76),148.80 (-3.80),149.45 (-3.48),183.66 (0.54),172.94 (-0.41),186.67 (-3.13)
183,Jonah Coleman,RB,DEN,170.40 (-0.20),145.00,131.20 (0.30),,118.26 (0.43),157.00 (2.50),151.25 (-1.81),161.24 (1.41),151.81 (0.43),173.95 (2.95)
184,Minnesota Vikings,DST,MIN,168.60 (0.10),160.00,131.20,,213.86 (-1.86),,,311.75 (1.74),194.51 (-1.16),
185,Dylan Sampson,RB,CLE,170.80,166.40,131.50 (0.40),,148.21 (-2.83),174.10 (-2.20),157.37 (0.13),162.33 (-3.41),159.75 (-0.56),170.45 (-2.63)
186,Tank Bigsby,RB,PHI,167.60 (0.60),187.70,131.60 (0.50),,139.98 (2.33),155.20 (5.50),163.94 (-1.16),157.88 (4.47),184.34 (3.51),170.16 (5.56)
187,Buffalo Bills,DST,BUF,169.00 (0.10),225.20,131.90 (0.30),,261.83 (-14.08),,,330.68 (0.34),233.05 (-1.71),
188,KC Concepcion,WR,CLE,150.60 (-5.00),143.20,132.00,,122.76 (0.36),118.80 (-1.40),125.13 (-0.04),138.75 (0.94),130.51 (0.35),149.98 (-0.97)
189,Romeo Doubs,WR,NE,152.10 (-3.20),115.30,132.20 (-0.10),,126.29 (-5.17),118.50 (-2.10),121.87 (0.43),143.47 (-0.98),121.35 (0.24),158.34 (-2.11)
190,Jo'quavioius Marks,RB,HOU,151.60 (-1.30),141.20,132.30,,117.98 (3.64),141.00 (0.40),142.70 (0.89),143.58 (1.81),143.58 (-0.19),153.78 (1.11)
191,Tyreek Hill,WR,Free Agent,169.80,174.00,132.30 (0.40),,259.44 (-28.31),215.30 (0.20),222.79 (-5.09),339.67 (2.88),247.46 (-5.18),347.69 (-0.43)
192,Khalil Shakir,WR,BUF,136.90 (-1.80),133.80,132.50 (0.70),,138.86 (-5.51),129.70 (-3.20),127.71 (1.60),145.57 (2.30),124.56 (-0.14),153.21 (0.49)
193,De'Zhaun Stribling,WR,SF,169.40 (-0.30),202.40,132.50,,135.17 (32.07),136.00 (12.00),157.89 (4.39),154.43 (10.55),222.69 (11.33),165.68 (11.93)
194,Keaton Mitchell,RB,LAC,170.50 (0.10),164.90,132.60 (0.50),,124.07 (0.24),132.20 (3.60),142.20 (-1.28),131.22 (3.68),153.92 (2.54),139.68 (6.53)
195,Chris Rodriguez,RB,JAC,168.30 (0.60),141.60,132.80 (-0.20),,126.05 (-0.90),128.40 (0.90),130.49 (-3.19),135.73 (3.64),144.75 (1.02),149.17 (1.66)
196,Greg Dulcich,TE,MIA,170.30 (0.10),,132.80 (1.50),,204.82 (-0.78),182.50 (-3.80),177.48 (-0.05),155.28 (-4.74),217.99 (2.96),158.86 (-4.27)
197,Tyjae Spears,RB,TEN,168.50 (-0.20),151.90,133.00 (0.40),,129.38 (-4.42),157.30 (-4.60),139.44 (-2.21),149.11 (-3.70),163.65 (0.03),155.41 (0.05)
198,Wil Lutz,K,DEN,169.80 (0.50),253.30,133.00 (0.70),,263.00 (-14.00),,,346.00 (-1.18),,
199,Harrison Mevis,K,LA,131.30 (2.50),181.00,133.20 (0.20),,224.33 (-1.04),,,310.88 (4.17),,
200,Harrison Butker,K,KC,148.70 (1.70),224.00,133.20 (0.70),,261.30 (-14.80),,,341.17 (-1.98),,
201,Jayden Higgins,WR,HOU,159.30 (-0.50),131.10,133.30 (0.70),,130.50 (0.58),121.10 (2.00),132.08 (1.43),144.28 (6.35),116.72 (1.25),157.05 (6.40)
202,Jalen Coker,WR,CAR,160.30 (-0.10),136.30,133.50 (0.40),,135.43 (-4.85),126.70 (1.30),132.05 (2.27),144.58 (1.97),130.65 (0.60),154.93
203,Pittsburgh Steelers,DST,PIT,115.80 (1.70),181.20,134.70 (-0.60),,217.00 (6.09),,,310.63 (3.33),195.42 (-0.03),
204,Atlanta Falcons,DST,ATL,170.30 (-0.10),228.40,135.10 (2.30),,265.00,,,347.31 (-3.00),233.67 (-2.55),
205,Cleveland Browns,DST,CLE,152.30 (-0.20),266.60,135.40 (1.30),,258.78 (-12.78),,,346.44 (-1.17),218.43 (-3.26),
206,Tyler Bass,K,BUF,169.50 (0.30),299.00,135.50 (-1.20),,266.75 (-15.42),,,348.29 (0.05),,
207,Kansas City Chiefs,DST,KC,162.30 (-0.80),189.20,135.70 (0.40),,272.00,,,340.51 (0.23),235.63 (-1.63),
208,Jacksonville Jaguars,DST,JAC,166.90 (-1.20),177.20,136.90,,209.69 (5.54),,,308.48 (4.07),193.48 (0.21),
209,Baltimore Ravens,DST,BAL,131.70 (1.90),142.20,137.00 (-0.80),,239.21 (-7.41),,,314.29 (3.07),205.60 (-0.14),
210,Detroit Lions,DST,DET,151.00 (0.60),162.20,137.60 (0.30),,258.80 (-7.80),,,325.11 (-0.23),232.96 (-1.13),
211,Green Bay Packers,DST,GB,167.60 (0.30),203.40,137.70 (0.20),,232.40 (-6.55),,,331.72 (3.69),229.54 (-1.06),
212,Jake Bates,K,DET,154.40 (0.60),233.00,138.40 (0.60),,221.71 (0.43),,,315.41 (1.66),,
213,Will Reichard,K,MIN,166.00 (-0.40),204.40,138.40 (0.70),,242.08 (-0.33),,,319.87 (2.68),,
214,Los Angeles Chargers,DST,LAC,162.70 (-0.70),197.60,138.70 (-0.40),,225.71 (1.76),,,304.42 (3.57),200.11 (0.63),
215,Chris Boswell,K,PIT,161.90 (0.30),239.40,138.90 (1.20),,256.00 (-9.00),,,334.34 (0.89),,
216,Tyler Loop,K,BAL,163.10 (-0.40),238.40,141.60 (-0.50),,222.51 (0.87),,,315.97 (3.88),,
217,Chase McLaughlin,K,TB,169.00 (-0.30),240.20,142.00 (0.50),,251.11 (-7.21),,,322.67 (2.13),,
218,Evan McPherson,K,CIN,168.80 (0.20),224.20,142.90 (0.40),,270.60 (-15.60),,,335.13 (-0.12),,
219,Eddy Pineiro,K,SF,149.40 (0.50),204.00,143.80 (-0.30),,235.97 (1.44),,,314.93 (2.64),,
220,Cairo Santos,K,CHI,167.10 (-0.40),222.20,144.60 (-0.10),,267.33 (-2.33),,,341.72 (-0.72),,
221,Justin Tucker,K,Free Agent,169.50 (0.10),,,,,,,,,
222,Philip Rivers,QB,Free Agent,169.60 (0.10),,,,,,,,,
223,Caden Davis,K,Free Agent,169.90,,,,,,,,,
224,Kadarius Toney,WR,Free Agent,169.90 (0.10),,,,,,,,,
225,Sal Cannella,TE,Free Agent,169.90 (0.10),,,,,,,,,
226,Matt Prater,K,Free Agent,169.90,,,,,,,,,
227,Jakobie Keeney-James,WR,PIT,169.90 (0.10),,,,,,,,,
228,Stetson Bennett,QB,LA,169.90 (0.10),,,,,,,,,
229,Lil'Jordan Humphrey,WR,DEN,169.90 (0.10),,,,,,,,,
230,JuJu Smith-Schuster,WR,NYG,169.90 (0.10),,,,,,,,,
231,Michael Pratt,QB,Free Agent,169.90 (0.10),,,,,,,,,
232,Luke Schoonmaker,TE,DAL,169.90,,,,,,,,,
233,John Parker Romo,K,Free Agent,170.00,,,,,,,,,
234,Jermaine Burton,WR,Free Agent,170.00,,,,,,,,,
235,Patrick Taylor,RB,SF,170.00,,,,,,,,,
236,Tony Brown,DB,Free Agent,170.00,,,,,,,,,
237,Ben VanSumeren,FB,BUF,170.00,,,,,,,,,
238,Shane Zylstra,TE,BUF,170.00,,,,,,,,,
239,Mason Tipton,WR,NO,170.00,,,,,,,,,
240,Jared Wayne,WR,HOU,170.00,,,,,,,,,
241,Grant DuBose,WR,Free Agent,170.00,,,,,,,,,
242,Robert Woods,WR,PIT,170.00,,,,,,,,,
243,Michael Woods,WR,DEN,170.00,,,,,,,,,
244,British Brooks,RB,HOU,170.00,,,,,,,,,
245,Justyn Ross,WR,Free Agent,170.00,,,,,,,,,
246,Hunter Luepke,FB,DAL,170.00,,,,,,,,,
247,Mike White,QB,Free Agent,170.00,,,,,,,,,
248,Teagan Quitoriano,TE,ARI,170.00,,,,,,,,,
249,Cam Grandy,TE,CIN,170.00,,,,,,,,,
250,Michael Bandy,WR,DEN,170.00,,,,,,,,,
251,Samori Toure,WR,PHI,170.00,,,,,,,,,
252,CJ Dippre,TE,NE,170.00,,,,,,,,,
253,Carsen Ryan,TE,CLE,170.00,,,,,,,,,
254,Chris Conley,WR,SF,170.00,,,,,,,,,
255,Danny Gray,WR,PHI,170.00,,,,,,,,,
256,Max Brosmer,QB,MIN,170.00,,,,,,,,,
257,Dez Fitzpatrick,WR,Free Agent,170.00,,,,,,,,,
258,Dalevon Campbell,WR,LAC,170.00,,,,,,,,,
259,Amar Johnson,RB,LAC,170.00,,,,,,,,,
260,Jaren Hall,QB,Free Agent,170.00,,,,,,,,,
261,Tip Reiman,TE,ARI,170.00,,,,,,,,,
262,Joshua Cephus,WR,Free Agent,170.00,,,,,,,,,
263,Laviska Shenault,WR,Free Agent,170.00,,,,,,,,,
264,Parris Campbell,WR,DAL,170.00 (0.10),,,,,,,,,
265,Behren Morton,QB,NE,170.00,,,,,,,,,
266,Johnny Wilson,WR,PHI,170.00,,,,,,,,,
267,Zack Kuntz,TE,DAL,170.00,,,,,,,,,
268,Jackson Meeks,TE,DET,170.00,,,,,,,,,
269,Brennan Presley,WR,LA,170.00,,,,,,,,,
270,Michael Carter,CB,PHI,170.00,,,,,,,,,
271,Chris Oladokun,QB,KC,170.00,,,,,,,,,
272,Russell Wilson,QB,NYG,170.00,,,,,,,,,
273,Ko Kieft,TE,TB,170.00,,,,,,,,,
274,Eric Gray,RB,NYG,170.00,,,,,,,,,
275,Diontae Johnson,WR,Free Agent,170.00,,,,,,,,,
276,Terrell Jennings,RB,NE,170.00,,,,,,,,,
277,Kenny Yeboah,TE,ARI,170.00,,,,,,,,,
278,Hassan Haskins,RB,NE,170.00,,,,,,,,,
279,Jeff Driskel,QB,Free Agent,170.00,,,,,,,,,
280,Dareke Young,WR,LV,170.00,,,,,,,,,
281,D'Onta Foreman,RB,Free Agent,170.00,,,,,,,,,
282,James Mitchell,TE,CAR,170.00,,,,,,,,,
283,Jermaine Jackson,WR,Free Agent,170.00,,,,,,,,,
284,Ronnie Bell,WR,NO,170.00,,,,,,,,,
285,Treyton Welch,TE,NO,170.00,,,,,,,,,
286,Scotty Miller,WR,CHI,170.00,,,,,,,,,
287,Graham Mertz,QB,HOU,170.00,,,,,,,,,
288,Nick Nash,WR,WAS,170.00,,,,,,,,,
289,Keleki Latu,TE,BUF,170.00,,,,,,,,,
290,Jack Endries,TE,CIN,170.00,,,,,,,,,
291,Zach Davidson,TE,Free Agent,170.00,,,,,,,,,
292,Dennis Houston,WR,TB,170.00,,,,,,,,,
293,Donald Parham,TE,Free Agent,170.00,,,,,,,,,
294,Dante Miller,RB,NYG,170.00,,,,,,,,,
295,Cordarrelle Patterson,RB,Free Agent,170.00,,,,,,,,,
296,Kalel Mullings,RB,TEN,170.00,,,,,,,,,
297,John Samuel Shenker,TE,LV,170.00,,,,,,,,,
298,Athan Kaliakmanis,QB,WAS,170.00,,,,,,,,,
299,Scott Matlock,FB,LAC,170.00,,,,,,,,,
300,John Wolford,QB,Free Agent,170.00,,,,,,,,,
301,Anthony Gould,WR,IND,170.00,,,,,,,,,
302,Graham Gano,K,Free Agent,170.00 (-0.10),,,,,,,,,
303,Ben Sims,TE,MIA,170.00,,,,,,,,,
304,Kedon Slovis,QB,ARI,170.00,,,,,,,,,
305,Kaden Wetjen,WR,PIT,170.00,,,,,,,,,
306,Joshua Karty,K,Free Agent,170.00,,,,,,,,,
307,Montrell Washington,WR,Free Agent,170.00,,,,,,,,,
308,Hunter Long,TE,JAC,170.00,,,,,,,,,
309,Brayden Willis,TE,SF,170.00,,,,,,,,,
310,Elijah Cooks,WR,CAR,170.00,,,,,,,,,
311,Mitchell Wilcox,TE,Free Agent,170.00,,,,,,,,,
312,Cam Akers,RB,Free Agent,170.00,,,,,,,,,
313,Stephen Sullivan,TE,Free Agent,170.00,,,,,,,,,
314,Owen Wright,RB,HOU,170.00,,,,,,,,,
315,Brandon Allen,QB,NYG,170.00,,,,,,,,,
316,Xavier Gipson,WR,NYG,170.00,,,,,,,,,
317,Max Bredeson,FB,MIN,170.00,,,,,,,,,
318,Blake Whiteheart,TE,CLE,170.00,,,,,,,,,
319,Chris Collier,RB,LV,170.00,,,,,,,,,
320,Erik Ezukanma,WR,PHI,170.00,,,,,,,,,
321,Kevin Austin,WR,NO,170.00,,,,,,,,,
322,Thomas Odukoya,TE,Free Agent,170.00,,,,,,,,,
323,Bauer Sharp,TE,TB,170.00,,,,,,,,,
324,Dylan Drummond,WR,ATL,170.00,,,,,,,,,
325,Jaren Kanak,TE,TEN,170.00,,,,,,,,,
326,David Moore,WR,CAR,170.00,,,,,,,,,
327,Connor Heyward,FB,LV,170.00,,,,,,,,,
328,Tony Jones,RB,Free Agent,170.00,,,,,,,,,
329,Noah Brown,WR,Free Agent,170.00,,,,,,,,,
330,Tanner Hudson,TE,CIN,170.00,,,,,,,,,
331,Reggie Gilliam,FB,NE,170.00,,,,,,,,,
332,Anthony Brown,CB,Free Agent,170.00,,,,,,,,,
333,Cade Stover,TE,HOU,170.00,,,,,,,,,
334,Nick Kallerup,TE,SEA,170.00,,,,,,,,,
335,Tanner McLachlan,TE,SF,170.00,,,,,,,,,
336,Dominic Lovett,WR,DET,170.00,,,,,,,,,
337,Kyle Trask,QB,CAR,170.00,,,,,,,,,
338,Quintin Morris,TE,JAC,170.00,,,,,,,,,
339,Louis Rees-Zammit,WR,Free Agent,170.00,,,,,,,,,
340,Jamaal Williams,RB,Free Agent,170.00,,,,,,,,,
341,Julius Chestnut,RB,TEN,170.00,,,,,,,,,
342,Nyheim Hines,RB,Free Agent,170.00,,,,,,,,,
343,Adrian Martinez,QB,SF,170.00,,,,,,,,,
344,Ramel Keyton,WR,Free Agent,170.00,,,,,,,,,
345,Brett Rypien,QB,Free Agent,170.00,,,,,,,,,
346,Shedrick Jackson,WR,LV,170.00,,,,,,,,,
347,Israel Abanikanda,RB,DAL,170.00,,,,,,,,,
348,Trent Sherfield,WR,BUF,170.00,,,,,,,,,
349,Jude McAtamney,K,Free Agent,170.00 (-0.10),,,,,,,,,
350,Foster Moreau,TE,HOU,170.00,,,,,,,,,
351,John Bates,TE,WAS,170.00,,,,,,,,,
352,Chris Moore,WR,BAL,170.00,,,,,,,,,
353,River Cracraft,WR,WAS,170.00,,,,,,,,,
354,Tyler Mabry,TE,Free Agent,170.00,,,,,,,,,
355,Dustin Hopkins,K,Free Agent,170.00,,,,,,,,,
356,Jakob Johnson,FB,Free Agent,170.00,,,,,,,,,
357,J.J. Taylor,RB,Free Agent,170.00,,,,,,,,,
358,Trishton Jackson,WR,Free Agent,170.00,,,,,,,,,
359,Jamison Crowder,WR,WAS,170.00,,,,,,,,,
360,Zach Evans,RB,NYJ,170.00,,,,,,,,,
361,Jackson Hawes,TE,BUF,170.00 (-0.10),,,,,,,,,
362,Jack Stoll,TE,CLE,170.00,,,,,,,,,
363,Mike Boone,RB,Free Agent,170.00,,,,,,,,,
364,Darrynton Evans,RB,Free Agent,170.00,,,,,,,,,
365,Tucker Fisk,TE,Free Agent,170.00,,,,,,,,,
366,David Martin-Robinson,TE,TEN,170.00,,,,,,,,,
367,Tay Martin,WR,DET,170.00,,,,,,,,,
368,Dallen Bentley,TE,DEN,170.00,,,,,,,,,
369,Hayden Hurst,TE,LAC,170.00,,,,,,,,,
370,Carson Steele,RB,PHI,170.00,,,,,,,,,
371,Travis Vokolek,TE,Free Agent,170.00,,,,,,,,,
372,Eric Tomlinson,TE,Free Agent,170.00,,,,,,,,,
373,Grant Calcaterra,TE,PHI,170.00,,,,,,,,,
374,Tommy Mellott,QB,Free Agent,170.00,,,,,,,,,
375,Bryce Oliver,WR,TEN,170.00,,,,,,,,,
376,Allen Lazard,WR,Free Agent,170.00,,,,,,,,,
377,Eric Saubert,TE,SEA,170.00,,,,,,,,,
378,Irv Smith,TE,Free Agent,170.00,,,,,,,,,
379,Zamir White,RB,SF,170.00,,,,,,,,,
380,Derius Davis,WR,LAC,170.00,,,,,,,,,
381,Joe Royer,TE,CLE,170.00,,,,,,,,,
382,Tim Boyle,QB,Free Agent,170.00,,,,,,,,,
383,Kyle McCord,QB,GB,170.00,,,,,,,,,
384,Mason Kinsey,WR,TEN,170.00,,,,,,,,,
385,Jordan Matthews,TE,Free Agent,170.00,,,,,,,,,
386,Nikko Remigio,WR,KC,170.00,,,,,,,,,
387,Lew Nichols,RB,PIT,170.00,,,,,,,,,
388,Brenden Rice,WR,Free Agent,170.00,,,,,,,,,
389,Ezekiel Elliott,RB,LAC,170.00,,,,,,,,,
390,Kameron Johnson,WR,TB,170.00,,,,,,,,,
391,Kristian Wilkerson,WR,ATL,170.00,,,,,,,,,
392,Cam Miller,QB,MIA,170.00,,,,,,,,,
393,Trent Taylor,WR,Free Agent,170.00,,,,,,,,,
394,Giovanni Ricci,TE,Free Agent,170.00,,,,,,,,,
395,Peyton Hendershot,TE,Free Agent,170.00,,,,,,,,,
396,Gerald Everett,TE,Free Agent,170.00,,,,,,,,,
397,Robert Tonyan,TE,PIT,170.00,,,,,,,,,
398,Malik Turner,WR,SF,170.00,,,,,,,,,
399,Laquon Treadwell,WR,IND,170.00,,,,,,,,,
400,Tyreik McAllister,WR,Free Agent,170.00,,,,,,,,,
401,Irvin Charles,WR,SEA,170.00,,,,,,,,,
402,Jeshaun Jones,WR,MIN,170.00,,,,,,,,,
403,Justin Watson,WR,HOU,170.00,,,,,,,,,
404,Cody Thompson,WR,Free Agent,170.00,,,,,,,,,
405,Amari Cooper,WR,LV,170.00,,,,,,,,,
406,Jake Haener,QB,Free Agent,170.00,,,,,,,,,
407,Daniel Carlson,K,Free Agent,170.00,,,,,,,,,
408,Kaden Prather,WR,GB,170.00,,,,,,,,,
409,D.J. Montgomery,WR,IND,170.00,,,,,,,,,
410,Jason Brownlee,WR,KC,170.00,,,,,,,,,
411,Kaden Davis,WR,CHI,170.00,,,,,,,,,
412,Elijah Mitchell,RB,Free Agent,170.00,,,,,,,,,
413,Gage Larvadain,WR,CLE,170.00,,,,,,,,,
414,Will Mallory,TE,IND,170.00,,,,,,,,,
415,Jamari Thrash,WR,CLE,170.00,,,,,,,,,
416,Ja'Lynn Polk,WR,NO,170.00,,,,,,,,,
417,Bailey Zappe,QB,NYJ,170.00,,,,,,,,,
418,Jelani Woods,TE,NYJ,170.00,,,,,,,,,
419,Ronnie Rivers,RB,LA,170.00,,,,,,,,,
420,Stone Smartt,TE,PHI,170.00,,,,,,,,,
421,Xavier Weaver,WR,ARI,170.00,,,,,,,,,
422,Corey Kiner,RB,ARI,170.00,,,,,,,,,
423,Quez Watkins,WR,PHI,170.00,,,,,,,,,
424,Allen Robinson,WR,DET,170.00,,,,,,,,,
425,Alec Ingold,FB,LAC,170.00,,,,,,,,,
426,Salvon Ahmed,RB,CHI,170.00,,,,,,,,,
427,Jaylen Johnson,WR,Free Agent,170.00,,,,,,,,,
428,Tom Kennedy,WR,DET,170.00,,,,,,,,,
429,Zaire Mitchell-Paden,TE,NO,170.00,,,,,,,,,
430,Tyrion Davis-Price,RB,Free Agent,170.00,,,,,,,,,
431,David Bell,WR,CLE,170.00,,,,,,,,,
432,Adam Prentice,FB,DEN,170.00,,,,,,,,,
433,Zach Wilson,QB,NO,170.00,,,,,,,,,
434,John FitzPatrick,TE,Free Agent,170.00,,,,,,,,,
435,Cornelius Johnson,WR,BAL,170.00,,,,,,,,,
436,Ke'Shawn Williams,WR,CIN,170.00,,,,,,,,,
437,Ryan Miller,WR,NYG,170.00,,,,,,,,,
438,Dalen Cambre,WR,NYG,170.00,,,,,,,,,
439,Carlos Washington,RB,MIA,170.00,,,,,,,,,
440,Keilan Robinson,RB,Free Agent,170.00,,,,,,,,,
441,MyCole Pruitt,TE,PIT,170.00,,,,,,,,,
442,Zach Horton,TE,DET,170.00,,,,,,,,,
443,Gunner Olszewski,WR,NYG,170.00,,,,,,,,,
444,Kendrick Law,WR,DET,170.00,,,,,,,,,
445,Trenton Irwin,WR,SF,170.00,,,,,,,,,
446,Tyree Jackson,TE,Free Agent,170.00,,,,,,,,,
447,Beaux Collins,WR,NYG,170.00,,,,,,,,,
448,Coleman Owen,WR,IND,170.00,,,,,,,,,
449,Julian Hill,TE,NE,170.00,,,,,,,,,
450,Zack Moss,RB,Free Agent,170.00,,,,,,,,,
451,Travis Homer,RB,PIT,170.00,,,,,,,,,
452,Baylor Cupp,TE,Free Agent,170.00,,,,,,,,,
453,Jacob Kibodi,RB,Free Agent,170.00,,,,,,,,,
454,Jaheim Bell,TE,PIT,170.00,,,,,,,,,
455,Dameon Pierce,RB,PHI,170.00,,,,,,,,,
456,Tanner Conner,TE,NYG,170.00,,,,,,,,,
457,Clyde Edwards-Helaire,RB,Free Agent,170.00,,,,,,,,,
