#,Player,Position,Team,ESPN,Sleeper,Yahoo,CBS,RTSports,Underdog,Guillotine,FFPC,NFFC,SuperFlex
831,Deshaun Watson,QB,CLE,170.00,,,,,215.20 (0.10),236.42 (-4.63),264.48 (-12.14),259.51 (-0.84),165.65 (-12.67)
832,Devin Neal,RB,NO,170.00,211.90,,,268.00 (-14.50),216.00,,,281.00 (0.71),
833,Malachi Fields,WR,NYG,169.90 (0.10),242.40,,,190.28 (6.88),210.10 (4.40),226.65 (-1.28),320.26 (15.61),247.46 (0.36),334.28 (9.79)
834,Michael Penix,QB,ATL,170.00,227.90,,,,215.40 (-0.20),236.62 (-2.56),275.69 (-5.30),254.79 (-1.56),174.66 (-11.60)
835,Ted Hurst,WR,TB,170.30 (-0.10),223.50,,,247.92 (-11.92),201.60 (2.20),234.22 (1.06),271.83 (21.84),265.44 (2.62),270.21 (18.67)
836,Michael Trigg,TE,DAL,170.00,249.70,,,,,,,273.18 (0.04),
837,Kevin Coleman,WR,MIA,170.00,,,,264.00 (-9.00),216.00,,,273.96 (0.12),
838,Mike Gesicki,TE,CIN,170.40 (0.30),,,,263.25 (-12.25),209.30 (-2.90),237.00 (0.06),235.18 (-6.12),270.89 (-0.15),197.75 (-4.57)
839,Ty Johnson,RB,BUF,170.40 (-0.10),,,,203.91 (-2.82),215.90 (-0.20),226.23 (1.46),295.32 (-6.35),276.00 (0.38),294.32 (5.83)
840,Andres Borregales,K,NE,169.90 (0.40),184.00,,,243.04 (-11.66),,,331.84 (-1.56),,
841,Ashton Dulin,WR,IND,170.00,,,,274.00,216.00,,,273.43 (-0.04),
842,Emari Demercado,RB,KC,170.30 (-0.10),,,,229.44 (-6.96),215.80,236.47 (-0.09),284.35 (2.37),264.69 (1.69),308.70 (19.69)
843,Tory Horton,WR,SEA,170.80 (0.20),228.70,,,,213.10 (-0.30),235.43 (-7.10),301.02 (13.69),267.39 (0.15),308.08 (17.24)
844,Christian Kirk,WR,SF,170.50 (0.60),241.70,,,238.00 (-6.45),215.40 (-0.60),231.39 (2.97),314.59 (-21.83),241.99 (-1.18),308.99 (-21.90)
845,Tyquan Thornton,WR,KC,170.20 (-0.10),,,,253.33,212.70 (-2.30),222.57 (-0.63),285.87 (-8.58),276.90 (0.81),272.10 (0.69)
846,Mason Taylor,TE,NYJ,169.90,224.30,,,274.33 (-25.33),215.70 (0.20),239.20,267.41 (14.67),271.08 (-1.13),234.75 (30.81)
847,Jerome Ford,RB,WAS,170.00,,,,265.00 (-22.00),,,,277.29 (0.44),
848,Keon Coleman,WR,BUF,170.20 (-0.10),234.80,,,239.06 (-11.06),211.80 (-0.60),235.20 (-2.49),310.07 (0.31),264.84 (0.59),288.59 (15.39)
849,Carson Beck,QB,ARI,169.50 (0.50),,,,277.00,213.80 (2.00),220.81,271.94 (22.78),276.48 (0.08),182.22 (36.72)
850,Adam Randall,RB,BAL,170.30,,,,233.54 (-6.66),215.80,216.32 (-8.08),319.36 (5.95),274.35 (0.24),319.91 (2.30)
851,Theo Johnson,TE,NYG,170.30 (0.10),232.20,,,,215.80 (-0.20),,303.89 (-9.84),270.14 (-1.73),285.35 (-13.96)
852,Jaylin Noel,WR,HOU,171.30 (-0.20),213.70,,,252.50,215.30 (-0.60),235.26 (-3.50),314.70 (-26.37),268.29 (-1.10),292.54 (-31.99)
853,Ollie Gordon,RB,MIA,170.30,,,,227.60 (9.90),215.70 (0.10),234.78 (1.13),307.83 (26.58),276.41 (2.06),323.83 (19.30)
854,Chris Bell,WR,MIA,171.10 (-0.30),231.40,,,247.58 (-8.29),214.40 (0.30),207.00 (-5.50),335.03 (-26.67),265.85 (-1.37),331.69 (-19.23)
855,Elic Ayomanor,WR,TEN,170.00,199.80,,,,215.70,235.92 (1.25),346.17 (2.07),269.07 (-1.91),346.13 (-0.42)
856,Elijah Sarratt,WR,BAL,170.20 (-0.10),229.20,,,218.00 (36.00),214.00 (-4.20),219.21 (-2.02),346.40 (-11.37),280.10 (-0.57),344.35 (-14.96)
